tucaseid,tuactivity_n,tewhere,trtcctot_ln,trtcc_ln,trtcoc_ln,trtec_ln,trthh_ln,trtnohh_ln,trtohh_ln,trtonhh_ln,trto_ln,tuactdur,tuactdur24,tucc5,tucc5b,tucc7,tucc8,tucumdur,tucumdur24,tudurstop,tuec24,tustarttim,tustoptime,tutier1code,tutier2code,tutier3code,trcode,trtier2,txwhere
20230101230077,13,1,0,-1,0,-1,-1,-1,-1,-1,-1,20,20,0,0,0,0,980,980,1,-1,20:00:00,20:20:00,02,02,01,020201,0202,0
20230101230077,14,1,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,1010,1010,1,-1,20:20:00,20:50:00,11,01,01,110101,1101,0
20230101230077,15,-1,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,1040,1040,1,-1,20:50:00,21:20:00,01,02,01,010201,0102,0
20230101230077,16,1,0,-1,0,-1,-1,-1,-1,-1,-1,120,120,0,0,0,0,1160,1160,1,-1,21:20:00,23:20:00,12,03,03,120303,1203,0
20230101230077,17,-1,0,-1,0,-1,-1,-1,-1,-1,-1,460,280,0,0,0,0,1620,1440,1,-1,23:20:00,07:00:00,01,01,01,010101,0101,0
20230101230105,1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,120,120,0,0,0,97,120,120,2,-1,04:00:00,06:00:00,01,01,01,010101,0101,0
20230101230105,2,9,0,-1,0,-1,-1,-1,-1,-1,-1,15,15,0,0,0,0,135,135,1,-1,06:00:00,06:15:00,02,06,02,020602,0206,0
20230101230105,3,1,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,165,165,1,-1,06:15:00,06:45:00,11,01,01,110101,1101,0
20230101230105,4,-1,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,195,195,1,-1,06:45:00,07:15:00,01,02,01,010201,0102,0
20230101230105,5,1,0,-1,0,-1,-1,-1,-1,-1,-1,10,10,0,0,0,0,205,205,1,-1,07:15:00,07:25:00,02,01,01,020101,0201,0
20230101230105,6,1,0,-1,0,-1,-1,-1,-1,-1,-1,215,215,0,0,0,0,420,420,2,-1,07:25:00,11:00:00,12,03,03,120303,1203,0
20230101230105,7,9,0,-1,0,-1,-1,-1,-1,-1,-1,15,15,0,0,0,0,435,435,1,-1,11:00:00,11:15:00,02,06,02,020602,0206,0
20230101230105,8,1,0,-1,0,-1,-1,-1,-1,-1,-1,15,15,0,0,0,0,450,450,1,-1,11:15:00,11:30:00,02,02,01,020201,0202,0
20230101230105,9,1,0,-1,0,-1,-1,-1,-1,-1,-1,120,120,0,0,0,0,570,570,1,-1,11:30:00,13:30:00,12,03,07,120307,1203,0
20230101230105,10,1,0,-1,0,-1,-1,-1,-1,-1,-1,150,150,0,0,0,0,720,720,2,-1,13:30:00,16:00:00,12,03,03,120303,1203,0
20230101230105,11,9,0,-1,0,-1,-1,-1,-1,-1,-1,15,15,0,0,0,0,735,735,1,-1,16:00:00,16:15:00,02,06,02,020602,0206,0
20230101230105,12,1,0,-1,0,-1,-1,-1,-1,-1,-1,45,45,0,0,0,0,780,780,2,-1,16:15:00,17:00:00,12,03,03,120303,1203,0
